/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/midnight_passenger_06_f000060.wav|Before the words were out of his mouth, Braun had dragged the venal scoundrel down in a strangler's grip.|Before the words were out of his mouth, Braun had dragged the venal scoundrel down in a strangler's grip.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/midnight_passenger_01_f000074.wav|There was a single red rose in the Polish toque, and that one touch of color guided him as he followed the gracefully gliding unknown beauty.|There was a single red rose in the Polish toque, and that one touch of color guided him as he followed the gracefully gliding unknown beauty.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/midnight_passenger_14_f000035.wav|So he did, drily answered Stillwell. He gets one hundred thousand dollars in clear settlement of all his claims for legal services for the past five years,|So he did, drily answered Stillwell. He gets one hundred thousand dollars in clear settlement of all his claims for legal services for the past five years,
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/northandsouth_39_f000185.wav|as a new lease was in preparation, and the terms of it must be agreed upon.|as a new lease was in preparation, and the terms of it must be agreed upon.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/northandsouth_36_f000219.wav|No, said he. I spoke as plain as I could, bout using words, when I bolted the door. Let me be, this day.|No, said he. I spoke as plain as I could, bout using words, when I bolted the door. Let me be, this day.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/northandsouth_16_f000057.wav|Though its astonishing how much those thorough-bred creatures can do and suffer.|Though its astonishing how much those thorough-bred creatures can do and suffer.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/northandsouth_20_f000164.wav|but when we speak of him as a man, we consider him not merely with regard to his fellow-men, but in relation to himself,—to life—to time—to eternity.|but when we speak of him as a man, we consider him not merely with regard to his fellow-men, but in relation to himself,-to life-to time-to eternity.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/northandsouth_19_f000194.wav|But Id just like for to see the mean as make the Union, and putthem one by one face to face wi Boucher.|But Id just like for to see the mean as make the Union, and putthem one by one face to face wi Boucher.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/northandsouth_38_f000030.wav|and this consciousness hurt his pride: he had always piqued himself on his self-control, and control himself he would.|and this consciousness hurt his pride: he had always piqued himself on his self-control, and control himself he would.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/northandsouth_26_f000065.wav|In all this, there was little thought enough of the future daughter-in-law as an individual.|In all this, there was little thought enough of the future daughter-in-law as an individual.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/midnight_passenger_12_f000229.wav|He laughed over the cunning which had bade her write or cable no more.|He laughed over the cunning which had bade her write or cable no more.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/northandsouth_40_f000124.wav|who had been acquainted with him for many years.|who had been acquainted with him for many years.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/northandsouth_21_f000114.wav|It is more painful for you to see than for her to bear, I believe.|It is more painful for you to see than for her to bear, I believe.
/home/sanborn/datasets/speech/m_ailabs/mary_ann/wavs/northandsouth_42_f000063.wav|and when she saw her aunt, she went forward to the arms open to receive her, and first found the passionate relief of tears on her aunts shoulder.|and when she saw her aunt, she went forward to the arms open to receive her, and first found the passionate relief of tears on her aunts shoulder.
